geoid,Region,State,age,season,MMWR Year/Week,Deaths from pneumonia and influenza,All Deaths
National,,,All,2013-14,201427,3012,47533
National,,,All,2013-14,201428,2998,47587
National,,,All,2013-14,201429,2956,47320
National,,,All,2013-14,201430,2991,47252
National,,,All,2013-14,201431,2941,47092
National,,,All,2013-14,201432,2852,47190
National,,,All,2013-14,201433,2883,46853
National,,,All,2013-14,201434,2890,46859
National,,,All,2013-14,201435,2834,46744
National,,,All,2013-14,201436,2970,47518
National,,,All,2013-14,201437,2888,47136
National,,,All,2013-14,201438,3005,48222
National,,,All,2013-14,201439,3031,48517
National,,,All,2014-15,201440,3088,48454
National,,,All,2014-15,201441,3164,49498
National,,,All,2014-15,201442,3116,49422
National,,,All,2014-15,201443,3230,49244
National,,,All,2014-15,201444,3181,49188
National,,,All,2014-15,201445,3224,51207
National,,,All,2014-15,201446,3269,50731
National,,,All,2014-15,201447,3425,52717
National,,,All,2014-15,201448,3477,52077
National,,,All,2014-15,201449,3724,52970
National,,,All,2014-15,201450,3968,53711
National,,,All,2014-15,201451,4431,54855
National,,,All,2014-15,201452,4802,56236
National,,,All,2014-15,201453,6059,59451
National,,,All,2014-15,201501,6677,61776
National,,,All,2014-15,201502,6572,61169
National,,,All,2014-15,201503,5895,58657
National,,,All,2014-15,201504,5443,57315
National,,,All,2014-15,201505,5225,57374
National,,,All,2014-15,201506,4989,56657
National,,,All,2014-15,201507,4787,56678
National,,,All,2014-15,201508,4781,56333
National,,,All,2014-15,201509,4736,56514
National,,,All,2014-15,201510,4605,55741
National,,,All,2014-15,201511,4335,54467
National,,,All,2014-15,201512,4023,53405
National,,,All,2014-15,201513,3942,53202
National,,,All,2014-15,201514,3938,52847
National,,,All,2014-15,201515,4002,52876
National,,,All,2014-15,201516,3870,51628
National,,,All,2014-15,201517,3703,51489
National,,,All,2014-15,201518,3579,51696
National,,,All,2014-15,201519,3498,50721
National,,,All,2014-15,201520,3254,49395
National,,,All,2014-15,201521,3392,49849
National,,,All,2014-15,201522,3208,49269
National,,,All,2014-15,201523,3226,49810
National,,,All,2014-15,201524,3155,49126
National,,,All,2014-15,201525,3203,49080
National,,,All,2014-15,201526,3119,49248
National,,,All,2014-15,201527,3085,48948
National,,,All,2014-15,201528,3038,49262
National,,,All,2014-15,201529,3012,48655
National,,,All,2014-15,201530,2922,48711
National,,,All,2014-15,201531,2952,48320
National,,,All,2014-15,201532,2849,48199
National,,,All,2014-15,201533,2941,48467
National,,,All,2014-15,201534,2912,48524
National,,,All,2014-15,201535,2945,48761
National,,,All,2014-15,201536,2952,48819
National,,,All,2014-15,201537,3019,48975
National,,,All,2014-15,201538,3058,49308
National,,,All,2014-15,201539,3067,48894
National,,,All,2015-16,201540,3222,51101
National,,,All,2015-16,201541,3151,50042
National,,,All,2015-16,201542,3243,50934
National,,,All,2015-16,201543,3186,50489
National,,,All,2015-16,201544,3373,51183
National,,,All,2015-16,201545,3240,50760
National,,,All,2015-16,201546,3369,51817
National,,,All,2015-16,201547,3350,51503
National,,,All,2015-16,201548,3481,52070
National,,,All,2015-16,201549,3554,53756
National,,,All,2015-16,201550,3507,52280
National,,,All,2015-16,201551,3547,53207
National,,,All,2015-16,201552,3949,52573
National,,,All,2015-16,201601,4272,55817
National,,,All,2015-16,201602,4296,55541
National,,,All,2015-16,201603,4076,55179
National,,,All,2015-16,201604,4162,55616
National,,,All,2015-16,201605,4138,55081
National,,,All,2015-16,201606,4064,55359
National,,,All,2015-16,201607,4171,55811
National,,,All,2015-16,201608,4395,54941
National,,,All,2015-16,201609,4503,55848
National,,,All,2015-16,201610,4564,56069
National,,,All,2015-16,201611,4489,54470
National,,,All,2015-16,201612,4467,54732
National,,,All,2015-16,201613,4163,53877
National,,,All,2015-16,201614,4170,53978
National,,,All,2015-16,201615,4064,53345
National,,,All,2015-16,201616,3813,52949
National,,,All,2015-16,201617,3501,50801
National,,,All,2015-16,201618,3469,51037
National,,,All,2015-16,201619,3272,50675
National,,,All,2015-16,201620,3290,50160
National,,,All,2015-16,201621,3196,50087
National,,,All,2015-16,201622,3004,49328
